GISJOIN,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,ALAND_sq_mi,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,NHPD_Units,Permits,Pop,Pop_density,Non_white_share,White_non_hisp,Black_non_hisp,Asian_non_Hisp,Hispanic,Workers,Transit_to_work,Walk_to_Work,Bike_to_work,Green_commute_share,BA_plus_25_plus,Med_HH_inc,Cost_burdened,Very_cost_burdened,Med_housing_value,Jobs,Job_density,Housing_units,Housing_density,Permit_density,Permits_per_capita,Subsidized_hsg_share
G53023795,53,23795,2410502,5323795,Fife,Fife city,25,C1,N,N,G4110,A,14913093,5.757977398,336136,47.231623,-122.3516479,23881.91172,15249227.66,114,2001,10345,1796.637827,0.562783954,0.437216046,0.094248429,0.152924118,0.151184147,5657,0.032526074,0.025278416,0,0.05780449,0.265321047,75151,0.445374245,0.185495119,325500,19563,3397.547202,4088,86.55218136,347.5178629,193.4267762,0.027886497
G53023970,53,23970,2410506,5323970,Fircrest,Fircrest city,25,C1,N,N,G4110,A,4101100,1.583443562,0,47.2307163,-122.5157038,12408.54134,4101099.949,0,373,6844,4322.225409,0.274985389,0.725014611,0.01899474,0.09585038,0.039158387,3379,0.013021604,0.016868896,0,0.0298905,0.425005244,82578,0.397820163,0.166212534,375600,1214,766.6834669,2864,60.63850444,235.5625479,54.50029223,0
G53033805,53,33805,2410123,5333805,Issaquah,Issaquah city,25,C1,N,N,G4110,A,31415493,12.12958966,2720353,47.5444883,-122.0490853,53833.28577,34135831.54,701,9411,38707,3191.121966,0.406928979,0.593071021,0.013175911,0.245588653,0.095279924,21389,0.099350133,0.031324513,0.005002571,0.135677217,0.666915264,122053,0.431796502,0.186486486,677500,31060,2560.680194,16797,353.2901626,775.871259,243.1343168,0.041733643
G53035170,53,35170,2410181,5335170,Kenmore,Kenmore city,25,C1,N,N,G4110,A,15924537,6.14849811,2770456,47.7498584,-122.2472442,23989.11704,15939379.37,238,2491,22969,3735.709045,0.26601071,0.73398929,0.015020245,0.140406635,0.066002003,12356,0.116380706,0.021285206,0.004370346,0.142036258,0.571428571,115093,0.414542415,0.139155871,617000,3495,568.4314995,9666,202.4299197,405.1395895,108.4505203,0.024622388
G53035415,53,35415,2410185,5335415,Kent,Kent city,25,C1,Y,N,G4110,A,87411126,33.74962443,1726257,47.3879703,-122.2127275,87540.1556,89137389.51,3386,7935,130038,3853.020654,0.584944401,0.415055599,0.117427214,0.215821529,0.159791753,63546,0.075551569,0.011424795,0.003320429,0.090296793,0.271499529,73891,0.534623062,0.255591381,378800,77724,2302.958961,46779,987.1492639,235.1137275,61.02062474,0.072382907
G53035940,53,35940,2411552,5335940,Kirkland,Kirkland city,25,C1,N,N,G4110,A,46117521,17.8060744,12575358,47.6966579,-122.2041702,44930.81393,46151429.79,615,9711,91146,5118.814958,0.310611546,0.689388454,0.018958594,0.152798806,0.077019288,49584,0.086560181,0.030695386,0.004255405,0.121510971,0.622604698,116595,0.403945304,0.197937682,724700,51312,2881.713219,39594,830.1210555,545.3756836,106.543348,0.015532656
G53037270,53,37270,2411603,5337270,Lake Forest Park,Lake Forest Park city,25,C1,N,N,G4110,A,9108864,3.516952052,1631503,47.7589112,-122.2917288,17693.07701,9158777.015,0,266,13455,3825.755882,0.233296172,0.766703828,0.030100334,0.068599034,0.063693794,7273,0.107933452,0.014986938,0.013886979,0.13680737,0.608175271,138043,0.50798722,0.16400426,676400,1469,417.6912219,5325,111.4975167,75.63367258,19.76960238,0
G53038038,53,38038,2411615,5338038,Lakewood,Lakewood city,25,C1,Y,N,G4110,A,44184014,17.05954318,4744533,47.1640919,-122.5281062,43550.88463,48928550.79,471,1609,60564,3550.15368,0.519186315,0.480813685,0.125338485,0.076497589,0.185341127,27831,0.042758076,0.016672056,0.003161942,0.062592074,0.22224602,55723,0.537256344,0.249356381,309600,26862,1574.602539,26830,568.8649759,94.31671078,26.56693745,0.017554976
G53040840,53,40840,2410900,5340840,Lynnwood,Lynnwood city,25,C1,N,N,G4110,A,20400256,7.876582877,40853,47.8289794,-122.3006719,28088.55911,20434537.73,2033,2786,38538,4892.730846,0.463776013,0.536223987,0.076210494,0.178628886,0.13371218,18284,0.101017283,0.03122949,0.008914898,0.141161671,0.292192073,62926,0.599394856,0.320121029,443100,30785,3908.420756,15309,320.0779149,353.7066827,72.29228294,0.132797701
G53045005,53,45005,2411082,5345005,Mercer Island,Mercer Island city,25,C1,N,N,G4110,A,16530954,6.382637022,16881611,47.5640042,-122.2312143,21886.158,16530953.75,89,1928,25820,4045.349894,0.306429125,0.693570875,0.009101472,0.196979086,0.03489543,12313,0.096320962,0.037440104,0.003411029,0.137172095,0.761700277,150506,0.528423773,0.304586563,1386300,7071,1107.849307,10886,228.8705542,302.0695041,74.67079783,0.008175638
G53045865,53,45865,2411108,5345865,Mill Creek,Mill Creek city,25,C1,N,N,G4110,A,12026737,4.643549116,37933,47.8651883,-122.2105658,19074.07267,12064674.05,266,3166,20750,4468.564773,0.383662651,0.616337349,0.041686747,0.189060241,0.080674699,11046,0.059388014,0.003349629,0.000633714,0.063371356,0.499410418,104951,0.456953642,0.246136865,584400,6672,1436.832008,8810,184.0586095,681.8060757,152.5783133,0.030192963
G53046020,53,46020,2411114,5346020,Milton,Milton city,25,C1,N,N,G4110,A,7199242,2.779642876,103929,47.2519937,-122.3172889,18727.66631,7303173.676,151,602,8211,2953.976596,0.280599196,0.719400804,0.013762027,0.084764341,0.113384484,4241,0.019335062,0.00754539,0.003065315,0.029945768,0.219058984,77064,0.511231603,0.286599535,340600,1709,614.8271833,3317,70.19809621,216.5745842,73.31628303,0.045523063
G53047490,53,47490,2411187,5347490,Mountlake Terrace,Mountlake Terrace city,25,C1,N,N,G4110,A,10504511,4.055814372,271166,47.7943292,-122.3026073,16331.84894,10775670.7,180,1235,21328,5258.623311,0.338006377,0.661993623,0.060999625,0.094992498,0.102306827,11554,0.114938549,0.016617622,0.000952051,0.132508222,0.374249201,80738,0.476836447,0.172510878,424700,6860,1691.398908,8954,187.3444015,304.5011154,57.90510128,0.020102747
