JURISDICTION_ID,STATION_ID,stationLink,name,status,modeOriginal,mode,lat,long,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms
G53057745,S1931196819,South Renton Transit Center-Stride S1-Bus Rapid Transit-planned,South Renton Transit Center,planned,Bus Rapid Transit,Rapid Transit,47.46814,-122.21376,132,132,437,132,132,132,437
G53072625,S2176455103,62 Avenue S-RapidRide F-Bus Rapid Transit-existing,62 Avenue S,existing,Bus Rapid Transit,Rapid Transit,47.46268,-122.25633,116,116,234,135,201,136,339
G53072625,S178533331,Tukwila International Blvd-Red Line (Central Link)-Light Rail-existing,Tukwila International Blvd,existing,Light Rail,Light Rail,47.46392,-122.28774,112,204,204,275,204,363,363
G53062288,S2176455098,32 Avenue S-RapidRide F-Bus Rapid Transit-existing,32 Avenue S,existing,Bus Rapid Transit,Rapid Transit,47.46515,-122.29153,416,1247,1795,1850,1247,2805,3791
G53062288,S2176455293,24 Avenue S-RapidRide F-Bus Rapid Transit-existing,24 Avenue S,existing,Bus Rapid Transit,Rapid Transit,47.46512,-122.30288,98,99,393,99,99,99,393
G53008850,S1485321903,Burien Transit Center-RapidRide F-Bus Rapid Transit-existing,Burien Transit Center,existing,Bus Rapid Transit,Rapid Transit,47.47043,-122.33709,313,595,1454,793,595,614,1666
G53057745,S1768405769,SW Grady-RapidRide F-Bus Rapid Transit-existing,SW Grady,existing,Bus Rapid Transit,Rapid Transit,47.46983,-122.22331,48,74,74,102,74,74,102
G53057745,S961714962,Grady Way-RapidRide I-Arterial Rapid Transit-planned,Grady Way,planned,Arterial Rapid Transit,Rapid Transit,47.47285,-122.20887,518,756,1100,855,756,1084,1448
G53057745,S3454067364,South Renton Park and Ride-RapidRide F-Bus Rapid Transit-existing,South Renton Park and Ride,existing,Bus Rapid Transit,Rapid Transit,47.47375,-122.21607,35,56,56,97,56,61,100
G53057745,S3395759523,S 4-RapidRide F-Bus Rapid Transit-existing,S 4,existing,Bus Rapid Transit,Rapid Transit,47.47658,-122.21535,73,155,162,243,155,263,335
G53057745,S390952695,SW 7-RapidRide F-Bus Rapid Transit-existing,SW 7,existing,Bus Rapid Transit,Rapid Transit,47.47375,-122.22328,189,215,522,230,215,279,586
G53057745,S778852035,Shattuck-RapidRide F-Bus Rapid Transit-existing,Shattuck,existing,Bus Rapid Transit,Rapid Transit,47.47976,-122.21322,181,804,822,1336,804,973,1498
G53057745,S1497404932,Renton Transit Center-RapidRide F-Bus Rapid Transit-existing,Renton Transit Center,existing,Bus Rapid Transit,Rapid Transit,47.48125,-122.20912,1240,2487,2597,3990,2487,2580,4175
G53057745,S3395765049,N 3-RapidRide F-Bus Rapid Transit-existing,N 3,existing,Bus Rapid Transit,Rapid Transit,47.48704,-122.20854,546,783,1076,1036,783,867,1413
G53057745,S3395761724,N 6-RapidRide F-Bus Rapid Transit-existing,N 6,existing,Bus Rapid Transit,Rapid Transit,47.4921,-122.20738,282,292,402,292,292,359,469
G53057745,S1273236346,The Landing-RapidRide F-Bus Rapid Transit-existing,The Landing,existing,Bus Rapid Transit,Rapid Transit,47.49811,-122.20081,155,191,293,191,191,296,398
