Station,Line,Mode,Status,Current units,Current zoning,Plexify reform,Multiply reform,Legalize reform,Missing middle reform,All reforms
S 208,RapidRide A,Bus Rapid Transit,existing,245,267,629,296,366,560,1021
208 Street,RapidRide I,Arterial Rapid Transit,planned,461,504,1459,576,504,617,1606
S 200,RapidRide A,Bus Rapid Transit,existing,211,252,735,332,252,374,911
200 Street,RapidRide I,Arterial Rapid Transit,planned,557,596,1683,655,596,801,1888
S 195,RapidRide A,Bus Rapid Transit,existing,124,135,479,154,135,241,585
192 Street,RapidRide I,Arterial Rapid Transit,planned,661,846,1763,1069,846,1194,2141
S 188,RapidRide A,Bus Rapid Transit,existing,327,472,1315,631,472,474,1476
186 Street,RapidRide I,Arterial Rapid Transit,planned,423,433,1338,446,433,449,1354
103 Avenue,RapidRide I,Arterial Rapid Transit,planned,277,277,459,277,277,411,593
Valley Medical Center,RapidRide I,Arterial Rapid Transit,planned,36,162,220,286,162,171,353
182 Street,RapidRide I,Arterial Rapid Transit,planned,370,371,1274,371,371,371,1274
S 180/182,RapidRide A,Bus Rapid Transit,existing,345,345,360,345,345,345,360
South 48 Court,RapidRide I,Arterial Rapid Transit,planned,156,192,532,229,192,201,578
108 Avenue,RapidRide I,Arterial Rapid Transit,planned,355,482,916,525,482,967,1401
S 176,RapidRide A,Bus Rapid Transit,existing,154,194,469,194,194,296,571
S 170,RapidRide A,Bus Rapid Transit,existing,243,373,1045,485,373,462,1242
South 32 Street,RapidRide I,Arterial Rapid Transit,planned,351,351,1116,351,351,351,1116
Andover Park East,RapidRide F,Bus Rapid Transit,existing,204,204,204,260,204,204,260
S 160,RapidRide A,Bus Rapid Transit,existing,299,464,1071,672,464,768,1472
South 23 Street,RapidRide I,Arterial Rapid Transit,planned,401,401,1400,401,401,401,1400
Tukwila International Boulevard,Stride S1,Bus Rapid Transit,planned,278,322,501,379,322,541,720
2 Avenue S,RapidRide F,Bus Rapid Transit,existing,621,758,914,820,758,942,1113
Des Moines Memorial Drive S,RapidRide F,Bus Rapid Transit,existing,299,425,685,477,433,540,853
4 Avenue SW,RapidRide F,Bus Rapid Transit,existing,801,1186,1393,1475,1186,1393,1720
Boeing Commercial Airplane Group,RapidRide F,Bus Rapid Transit,existing,0,0,0,0,0,0,0
42 Avenue S,RapidRide F,Bus Rapid Transit,existing,488,593,1300,649,583,822,1529
1 Avenue S,RapidRide F,Bus Rapid Transit,existing,207,229,229,282,229,270,287
52 Avenue S,RapidRide F,Bus Rapid Transit,existing,432,439,905,462,961,462,1450
SW 152,RapidRide F,Bus Rapid Transit,existing,1190,3807,5251,5713,3807,4040,7306
The Boulevard at South Station,RapidRide F,Bus Rapid Transit,existing,290,290,1126,290,290,290,1126
South Puget Drive,RapidRide I,Arterial Rapid Transit,planned,109,123,355,146,123,150,382
Baker Boulevard,RapidRide F,Bus Rapid Transit,existing,18,57,57,114,57,57,114
65 Avenue S,RapidRide F,Bus Rapid Transit,existing,40,40,60,40,40,56,76
South Renton Transit Center,Stride S1,Bus Rapid Transit,planned,132,132,437,132,132,132,437
62 Avenue S,RapidRide F,Bus Rapid Transit,existing,116,116,234,135,201,136,339
Tukwila International Blvd,Red Line (Central Link),Light Rail,existing,112,204,204,275,204,363,363
32 Avenue S,RapidRide F,Bus Rapid Transit,existing,416,1247,1795,1850,1247,2805,3791
24 Avenue S,RapidRide F,Bus Rapid Transit,existing,98,99,393,99,99,99,393
Burien Transit Center,RapidRide F,Bus Rapid Transit,existing,313,595,1454,793,595,614,1666
SW Grady,RapidRide F,Bus Rapid Transit,existing,48,74,74,102,74,74,102
Grady Way,RapidRide I,Arterial Rapid Transit,planned,518,756,1100,855,756,1084,1448
South Renton Park and Ride,RapidRide F,Bus Rapid Transit,existing,35,56,56,97,56,61,100
S 4,RapidRide F,Bus Rapid Transit,existing,73,155,162,243,155,263,335
SW 7,RapidRide F,Bus Rapid Transit,existing,189,215,522,230,215,279,586
Shattuck,RapidRide F,Bus Rapid Transit,existing,181,804,822,1336,804,973,1498
Renton Transit Center,RapidRide F,Bus Rapid Transit,existing,1240,2487,2597,3990,2487,2580,4175
N 3,RapidRide F,Bus Rapid Transit,existing,546,783,1076,1036,783,867,1413
N 6,RapidRide F,Bus Rapid Transit,existing,282,292,402,292,292,359,469
The Landing,RapidRide F,Bus Rapid Transit,existing,155,191,293,191,191,296,398
N 10,RapidRide F,Bus Rapid Transit,existing,1,1,1,1,1,1,1
South Boeing Access Road,Link 1 Line,Light Rail,planned,128,128,406,128,160,128,438
26th Avenue,RapidRide H,Bus Rapid Transit,proposed,297,434,476,612,434,1529,1678
20th Avenue,RapidRide H,Bus Rapid Transit,proposed,421,706,831,1101,706,1682,2034
16th Avenue,RapidRide H,Bus Rapid Transit,proposed,1212,1918,2539,2718,1918,2717,3894
35,RapidRide C,Bus Rapid Transit,existing,1810,2132,4187,2640,2132,2230,4695
28,RapidRide C,Bus Rapid Transit,existing,274,310,527,358,310,1012,1232
45,RapidRide C,Bus Rapid Transit,existing,554,601,1363,692,601,623,1458
California,RapidRide C,Bus Rapid Transit,existing,3203,3738,5334,4567,3738,3941,6219
Rainier Beach,Red Line (Central Link),Light Rail,existing,1635,3216,4605,4307,3346,3580,6041
SW Barton,RapidRide C,Bus Rapid Transit,existing,201,205,546,205,205,205,546
25th Avenue,RapidRide H,Bus Rapid Transit,proposed,314,544,721,819,544,630,1014
Westwood Village,RapidRide C,Bus Rapid Transit,existing,150,181,478,222,181,201,519
SW Henderson,RapidRide H,Bus Rapid Transit,proposed,736,973,1382,1411,973,1146,1833
Northeast 44,Stride S1,Bus Rapid Transit,planned,344,400,988,400,400,580,1168
SW Thistle,RapidRide H,Bus Rapid Transit,proposed,943,1032,1884,1256,1032,1093,2111
SW Rose,RapidRide C,Bus Rapid Transit,existing,447,448,841,448,448,448,841
SW Holden,RapidRide H,Bus Rapid Transit,proposed,1025,1190,1920,1407,1190,1262,2151
Othello,Red Line (Central Link),Light Rail,existing,1823,3018,4598,3834,3018,3567,5694
SW Webster,RapidRide C,Bus Rapid Transit,existing,456,642,1038,699,642,722,1165
SW Myrtle,RapidRide C,Bus Rapid Transit,existing,928,1003,1812,1218,1003,1085,2027
SW Myrtle,RapidRide H,Bus Rapid Transit,proposed,672,692,1405,718,692,716,1441
South Graham Street,Link 1 Line,Light Rail,planned,1640,3005,4367,3600,3005,3495,5319
Fauntleroy Way SW,RapidRide C,Bus Rapid Transit,existing,2905,3461,4586,4379,3461,3794,5541
Central Issaquah-South Kirkland,Issaquah Link,Light Rail,planned,33,33,101,33,33,33,101
SW Holly,RapidRide H,Bus Rapid Transit,proposed,355,360,942,360,360,360,942
SW Graham,RapidRide H,Bus Rapid Transit,proposed,632,836,1132,857,836,1194,1502
SW Findlay,RapidRide C,Bus Rapid Transit,existing,1898,2276,3510,2782,2276,2457,4081
SW Findlay,RapidRide H,Bus Rapid Transit,proposed,1090,1508,2184,2066,1508,1711,2764
Columbia City,Red Line (Central Link),Light Rail,existing,2751,4230,5387,5289,4230,5241,7117
Fauntleroy,RapidRide C,Bus Rapid Transit,existing,1413,1725,2193,2138,1725,1838,2632
SW Hudson,RapidRide H,Bus Rapid Transit,proposed,617,696,1254,870,696,734,1428
Alaska Junction,West Seattle Link Extension,Light Rail,planned,1551,2079,2366,2997,2079,2231,3296
SW Avalon,RapidRide C,Bus Rapid Transit,existing,2158,2525,2611,3239,2525,2581,3325
SW Genesee,RapidRide H,Bus Rapid Transit,proposed,205,246,388,326,246,274,468
Delridge,West Seattle Link Extension,Light Rail,planned,330,386,405,734,386,457,753
Avalon,West Seattle Link Extension,Light Rail,planned,688,688,1106,709,688,695,1127
Bradford/Yancy,RapidRide C,Bus Rapid Transit,existing,979,1463,1677,2249,1495,1618,2519
SW Andover,RapidRide H,Bus Rapid Transit,proposed,347,520,665,774,520,633,933
Mount Baker,Red Line (Central Link),Light Rail,existing,2345,3522,4486,4289,3522,3788,5443
Beacon Hill,Red Line (Central Link),Light Rail,existing,2545,4326,5514,6137,4326,5249,7607
Eastgate-South Kirkland,Issaquah Link,Light Rail,planned,529,533,2070,535,533,550,2087
Richards Road-South Kirkland,Issaquah Link,Light Rail,planned,523,532,1236,539,532,653,1357
Sodo,Red Line (Central Link),Light Rail,existing,0,0,0,0,0,0,0
South Bellevue,Blue Line (East Link),Light Rail,uc,515,515,2021,515,515,531,2037
Mercer Island,Blue Line (East Link),Light Rail,uc,1107,1927,2831,2583,1965,2036,3614
Judkins Park,Blue Line (East Link),Light Rail,uc,2275,4484,4818,5329,4484,5438,6413
SODO,West Seattle Link Extension,Light Rail,planned,1,1,1,1,1,1,1
Stadium,Red Line (Central Link),Light Rail,existing,558,568,570,568,568,582,584
12th/Jackson-Little Saigon,First Hill Line,Streetcar,existing,116,435,435,821,435,449,827
International District-Chinatown,Ballard Link Extension,Light Rail,planned,140,140,140,140,140,140,140
14th/Washington-Central District,First Hill Line,Streetcar,existing,2352,3757,3931,4676,3757,4350,5211
7th/Jackson-Chinatown,First Hill Line,Streetcar,existing,1192,1192,1192,1192,1192,1192,1192
5th/Jackson-Japantown,First Hill Line,Streetcar,existing,940,940,940,940,940,940,940
Yesler/Broadway-Yesler Terrace,First Hill Line,Streetcar,existing,823,1016,1016,1452,1016,1063,1453
International District-Chinatown,Red Line (Central Link),Light Rail,existing,585,585,585,585,585,585,585
Terrace Street,RapidRide D,Bus Rapid Transit,existing,506,905,905,1624,905,905,1624
East Main,Blue Line (East Link),Light Rail,uc,792,879,1689,1085,879,983,1998
Pioneer Square,Red Line (Central Link),Light Rail,existing,76,343,343,621,343,343,621
Prefontaine Place,RapidRide D,Bus Rapid Transit,existing,10,18,18,36,18,18,36
1st & Cherry-Columbia/Pioneer Square,Center City Connector,Streetcar,proposed,453,487,487,522,487,487,522
Broadway/Terrace-First Hill,First Hill Line,Streetcar,existing,2005,3154,3154,4962,3154,3230,4968
Columbia,RapidRide C,Bus Rapid Transit,existing,132,2312,2312,4624,2312,2312,4624
Terry Avenue,Madison RapidRide G,Bus Rapid Transit,proposed,2713,8318,8318,14820,8318,8341,14843
8th Avenue,Madison RapidRide G,Bus Rapid Transit,proposed,2217,4279,4279,7191,4279,4288,7200
3rd Avenue,Madison RapidRide G,Bus Rapid Transit,proposed,1,1720,1720,3440,1720,1720,3440
1st & Madison/Spring,Center City Connector,Streetcar,proposed,855,1038,1038,1282,1038,1038,1282
Midtown,Ballard Link Extension,Light Rail,planned,128,547,547,1094,547,547,1094
5th Avenue,Madison RapidRide G,Bus Rapid Transit,proposed,107,2217,2217,4434,2217,2217,4434
1st & Pike/Pine,Center City Connector,Streetcar,proposed,3139,3599,3599,4401,3599,3599,4401
University Street,Red Line (Central Link),Light Rail,existing,254,3375,3375,6750,3375,3375,6750
Bellevue Transit Center,RapidRide B,Bus Rapid Transit,existing,1711,3736,3893,4461,3736,3737,4619
Broadway/Marion-First Hill,First Hill Line,Streetcar,existing,128,487,487,878,487,527,878
12th Avenue,Madison RapidRide G,Bus Rapid Transit,proposed,2425,3102,3102,4320,3102,3405,4412
17th Avenue,Madison RapidRide G,Bus Rapid Transit,proposed,4621,5420,5562,6606,5420,5980,6951
Pike,RapidRide C,Bus Rapid Transit,existing,640,811,811,984,822,811,995
148,RapidRide B,Bus Rapid Transit,existing,498,500,1555,501,500,669,1724
143,RapidRide B,Bus Rapid Transit,existing,334,334,999,334,334,385,1050
22nd Avenue,Madison RapidRide G,Bus Rapid Transit,proposed,2856,3995,4194,5219,3995,4510,5659
131/134,RapidRide B,Bus Rapid Transit,existing,340,340,1219,340,340,364,1243
140,RapidRide B,Bus Rapid Transit,existing,226,244,682,246,244,291,729
3rd & Stewart,Center City Connector,Streetcar,proposed,299,960,960,1892,960,960,1892
Westlake,Ballard Link Extension,Light Rail,planned,2778,3723,3723,4993,4024,3723,5294
Virginia,RapidRide C,Bus Rapid Transit,existing,2343,2880,2880,3548,2880,2880,3548
Boylston Avenue,Madison RapidRide G,Bus Rapid Transit,proposed,2639,4867,4867,8102,4867,4877,8102
NE 10,RapidRide B,Bus Rapid Transit,existing,411,413,1105,416,413,421,1113
Bell Street,RapidRide D,Bus Rapid Transit,existing,2964,3049,3049,3279,3049,3049,3279
120,RapidRide B,Bus Rapid Transit,existing,43,70,70,90,70,92,112
124,RapidRide B,Bus Rapid Transit,existing,351,355,888,359,355,370,903
Bellevue Downtown,Blue Line (East Link),Light Rail,uc,519,1190,1224,2076,1190,1190,2110
Vine Street,RapidRide D,Bus Rapid Transit,existing,8444,8927,8927,9405,8927,8927,9405
Broadway/Pike/Pine-Capitol Hill,First Hill Line,Streetcar,existing,3672,3992,3992,4819,3992,4132,4844
24th Avenue,Madison RapidRide G,Bus Rapid Transit,proposed,1406,1557,1809,2006,1557,1750,2278
Westlake,Red Line (Central Link),Light Rail,existing,224,656,656,1312,656,656,1312
9th Avenue,Roosevelt RapidRide,Bus Rapid Transit,proposed,6019,8452,8452,11654,8452,8453,11655
6th Avenue,Roosevelt RapidRide,Bus Rapid Transit,proposed,656,731,731,808,731,731,808
Westlake/7th,South Lake Union Line,Streetcar,existing,658,1485,1485,2615,1485,1485,2615
Denny Way,RapidRide D,Bus Rapid Transit,existing,2656,3268,3268,4514,3268,3268,4514
Martin Luther King Jr. Way,Madison RapidRide G,Bus Rapid Transit,proposed,1769,2089,2857,2579,2089,2205,3371
Denny,Ballard Link Extension,Light Rail,planned,999,999,999,999,999,999,999
Broadway/Denny-Capitol Hill,First Hill Line,Streetcar,existing,6991,7652,7652,8991,7652,7721,9013
Denny Way,RapidRide E,Bus Rapid Transit,existing,3184,3712,3712,4662,3712,3712,4662
Capitol Hill,Red Line (University Link),Light Rail,existing,8332,10228,10238,12883,10228,11036,13276
Westlake/Denny-9th,South Lake Union Line,Streetcar,existing,410,508,508,620,508,508,620
Harrison Street,Roosevelt RapidRide,Bus Rapid Transit,proposed,3677,12883,12883,24498,12883,12883,24498
Denny,RapidRide C,Bus Rapid Transit,existing,417,949,949,1898,949,949,1898
South Lake Union,Ballard Link Extension,Light Rail,planned,1496,3373,3373,5552,3373,3378,5557
Seattle Center,Ballard Link Extension,Light Rail,planned,993,1128,1128,1848,1128,1128,1848
Bel-Red/130th,Blue Line (East Link),Light Rail,uc,15,75,90,90,75,75,105
Westlake/Thomas,South Lake Union Line,Streetcar,existing,937,1491,1491,2578,1491,1491,2578
Terry/Thomas,South Lake Union Line,Streetcar,existing,131,259,259,518,259,259,518
NE 15,RapidRide B,Bus Rapid Transit,existing,158,169,470,176,169,221,522
Republican Street,RapidRide D,Bus Rapid Transit,existing,1612,2222,2240,3497,2222,2261,3546
Yale Avenue,Roosevelt RapidRide,Bus Rapid Transit,proposed,3479,4815,4826,6108,4815,4922,6181
Westlake/Mercer,South Lake Union Line,Streetcar,existing,42,129,129,258,129,129,258
3rd Avenue West,RapidRide D,Bus Rapid Transit,existing,4102,4717,4900,6568,4739,4833,6811
Terry/Mercer,South Lake Union Line,Streetcar,existing,32,129,129,258,129,129,258
Fairview-Campus,South Lake Union Line,Streetcar,existing,479,1936,1936,2281,1936,1936,2281
Fairview Avenue,RapidRide C,Bus Rapid Transit,existing,74,1106,1106,2212,1106,1106,2212
Queen Anne Avenue,RapidRide D,Bus Rapid Transit,existing,2408,3395,3544,4620,3395,3485,4802
Garfield Street,Roosevelt RapidRide,Bus Rapid Transit,proposed,1354,1835,2110,2452,1835,2062,2835
Mercer,RapidRide C,Bus Rapid Transit,existing,1209,2175,2175,3901,2175,2175,3901
Galer,RapidRide E,Bus Rapid Transit,existing,4715,9711,9829,14860,9817,10168,15235
Bel-Red/24,RapidRide B,Bus Rapid Transit,existing,219,477,831,736,477,493,1097
West Prospect,RapidRide D,Bus Rapid Transit,existing,752,774,1066,849,774,803,1141
Spring District/120th,Blue Line (East Link),Light Rail,uc,4,115,115,115,115,115,115
West Galer,RapidRide D,Bus Rapid Transit,existing,86,88,103,88,88,89,104
Lynn,RapidRide E,Bus Rapid Transit,existing,3194,3664,4010,4474,3814,4010,5047
NE 31,RapidRide B,Bus Rapid Transit,existing,92,92,368,92,92,92,368
Overlake Park and Ride,RapidRide B,Bus Rapid Transit,existing,38,74,74,148,74,74,148
Newton/Armory,RapidRide D,Bus Rapid Transit,existing,731,942,949,1235,942,1145,1380
Smith Cove,Ballard Link Extension,Light Rail,planned,69,75,75,75,75,78,78
Overlake Village,Blue Line (East Link),Light Rail,uc,1,1,4,1,1,1,4
Lynn Street,Roosevelt RapidRide,Bus Rapid Transit,proposed,3479,4213,4310,5563,4213,4631,5717
NE 40,RapidRide B,Bus Rapid Transit,existing,162,162,414,162,162,206,458
West Wheeler,RapidRide D,Bus Rapid Transit,existing,1309,1472,1589,1842,1472,1638,2009
South Kirkland-South Kirkland,Issaquah Link,Light Rail,planned,294,617,1094,734,617,632,1226
University of Washington,Red Line (University Link),Light Rail,existing,203,203,358,203,203,205,360
West Armour,RapidRide D,Bus Rapid Transit,existing,1487,1592,1777,1796,1592,1724,2053
Hamlin Street,Roosevelt RapidRide,Bus Rapid Transit,proposed,1931,2442,2531,3420,2450,2608,3526
Harvard Avenue,Roosevelt RapidRide,Bus Rapid Transit,proposed,1259,1435,1698,1844,1624,1559,2318
Interbay,Ballard Link Extension,Light Rail,planned,1378,1481,1668,1534,1481,1683,1900
Overlake Transit Center,RapidRide B,Bus Rapid Transit,existing,26,26,104,26,26,26,104
West Dravus,RapidRide D,Bus Rapid Transit,existing,1420,1598,1938,2170,1598,1686,2520
Redmond Technology Center,Blue Line (East Link),Light Rail,uc,10,10,40,10,10,10,40
NE 46,RapidRide B,Bus Rapid Transit,existing,20,20,80,20,20,20,80
West Emerson,RapidRide D,Bus Rapid Transit,existing,876,1025,1118,1282,1039,1234,1504
41st Street,Roosevelt RapidRide,Bus Rapid Transit,proposed,2021,4435,4456,8249,4435,4508,8286
152,RapidRide B,Bus Rapid Transit,existing,0,0,0,0,0,0,0
