station_link,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms,lat,long,grade,status,year_open,name,mode,line
Commerce Street-S. 11th-Orange Line (Tacoma Link)-Streetcar-existing,1553,6381,6381,11299,6381,6381,11299,-122.43931,47.25291,at grade,existing,2011,Commerce Street-S. 11th,Streetcar,Orange Line (Tacoma Link)
Convention Center-S. 15th-Orange Line (Tacoma Link)-Streetcar-existing,960,8252,8252,15604,8252,8252,15604,-122.43855,47.2495,at grade,existing,2003,Convention Center-S. 15th,Streetcar,Orange Line (Tacoma Link)
Crossroads-Swift Blue Line-Bus Rapid Transit-existing,1163,1583,2204,1929,1958,3102,4128,-122.31629,47.81974,at grade,existing,2009,Crossroads,Bus Rapid Transit,Swift Blue Line
Delridge-West Seattle Link Extension-Light Rail-planned,1438,1688,1800,3170,1688,2005,3282,-122.36491,47.56572,elevated,planned,,Delridge,Light Rail,West Seattle Link Extension
Denny Way-RapidRide D-Bus Rapid Transit-existing,14862,22769,22769,33557,22769,22769,33557,-122.35537,47.61859,at grade,existing,2012,Denny Way,Bus Rapid Transit,RapidRide D
Denny Way-RapidRide E-Bus Rapid Transit-existing,47468,55873,55873,70556,55873,55873,70556,-122.34364,47.61856,at grade,existing,2014,Denny Way,Bus Rapid Transit,RapidRide E
Denny-Ballard Link Extension-Light Rail-planned,20023,56023,56023,92023,56023,56023,92023,-122.33954,47.61829,subway,planned,,Denny,Light Rail,Ballard Link Extension
Denny-RapidRide C-Bus Rapid Transit-existing,7615,41097,41097,82194,41097,41097,82194,-122.33854,47.61857,at grade,existing,2012,Denny,Bus Rapid Transit,RapidRide C
Des Moines Memorial Drive S-RapidRide F-Bus Rapid Transit-existing,1593,1848,2523,2223,1864,2261,3127,-122.32343,47.46329,at grade,existing,2014,Des Moines Memorial Drive S,Bus Rapid Transit,RapidRide F
Downtown Redmond-Blue Line (Downtown Redmond Link)-Light Rail-uc,2865,2951,2951,3051,2951,3019,3075,-122.11847,47.6716,at grade,uc,,Downtown Redmond,Light Rail,Blue Line (Downtown Redmond Link)
DuPont-DuPont Sounder Extension-Commuter Rail-planned,178,652,652,1132,2669,1102,3599,-122.64058,47.0895,at grade,planned,,DuPont,Commuter Rail,DuPont Sounder Extension
East Gibson Road-Swift Green Line-Bus Rapid Transit-existing,17525,23515,23768,26585,23515,27433,30524,-122.25026,47.88192,at grade,existing,2019,East Gibson Road,Bus Rapid Transit,Swift Green Line
East Main Street-RapidRide I-Arterial Rapid Transit-planned,2730,22138,23124,37603,22362,24358,40863,-122.22572,47.30756,at grade,planned,,East Main Street,Arterial Rapid Transit,RapidRide I
East Main-Blue Line (East Link)-Light Rail-uc,2435,3872,4903,6131,3872,4161,7448,-122.19119,47.60849,at grade,uc,,East Main,Light Rail,Blue Line (East Link)
Eastgate-South Kirkland-Issaquah Link-Light Rail-planned,600,1577,3117,2116,1577,2010,4061,-122.14612,47.57928,at grade,planned,,Eastgate,Light Rail,South Kirkland-Issaquah Link
Edmonds College-Swift Orange Line-Arterial Rapid Transit-uc,2194,5278,6667,7712,5725,6544,10796,-122.32489,47.8159,at grade,uc,,Edmonds College,Arterial Rapid Transit,Swift Orange Line
Edmonds-Sounder-Commuter Rail-existing,746,4547,4765,4992,4593,5845,6502,-122.38502,47.81073,at grade,existing,1957,Edmonds,Commuter Rail,Sounder
Elgin Way-Swift Green Line-Bus Rapid Transit-existing,1040,1332,2980,1452,1332,1455,3217,-122.21969,47.88035,at grade,existing,2019,Elgin Way,Bus Rapid Transit,Swift Green Line
Everett Station-Sounder-Commuter Rail-existing,537,23841,23847,34328,23841,26131,36624,-122.19732,47.97555,at grade,existing,2002,Everett Station,Commuter Rail,Sounder
Everett Station-Swift Blue Line-Bus Rapid Transit-existing,1081,7549,7549,12069,7549,9191,13351,-122.19823,47.97524,at grade,existing,2009,Everett Station,Bus Rapid Transit,Swift Blue Line
Everett-Everett Link Extension-Light Rail-planned,496,10206,10206,11973,10206,10206,11973,-122.19721,47.97463,elevated,planned,,Everett,Light Rail,Everett Link Extension
Fairview Avenue-RapidRide C-Bus Rapid Transit-existing,828,11526,11526,23052,14606,11526,26132,-122.33351,47.62668,at grade,existing,2012,Fairview Avenue,Bus Rapid Transit,RapidRide C
Fairview-Campus-South Lake Union Line-Streetcar-existing,4790,19360,19360,22810,19360,19360,22810,-122.33251,47.62751,at grade,existing,2007,Fairview-Campus,Streetcar,South Lake Union Line
Fauntleroy Way SW-RapidRide C-Bus Rapid Transit-existing,7068,8803,10842,11322,8803,9565,13438,-122.38834,47.54471,at grade,existing,2012,Fauntleroy Way SW,Bus Rapid Transit,RapidRide C
Fauntleroy-RapidRide C-Bus Rapid Transit-existing,6460,9437,11420,11466,9437,10853,14443,-122.3818,47.56107,at grade,existing,2012,Fauntleroy,Bus Rapid Transit,RapidRide C
Federal Way Transit Center-RapidRide A-Bus Rapid Transit-existing,459,5398,5539,8386,6380,6801,10676,-122.29915,47.3178,at grade,existing,2010,Federal Way Transit Center,Bus Rapid Transit,RapidRide A
Federal Way-Red Line (Federal Way Link)-Light Rail-uc,2167,20849,21146,29135,20849,21972,30336,-122.30366,47.31645,elevated,uc,,Federal Way,Light Rail,Red Line (Federal Way Link)
Fife-Tacoma Dome Link Extension-Light Rail-planned,113,510,590,510,510,800,880,-122.35181,47.24456,elevated,planned,,Fife,Light Rail,Tacoma Dome Link Extension
Galer-RapidRide E-Bus Rapid Transit-existing,20313,65868,66070,90153,66080,67123,90987,-122.34346,47.63233,at grade,existing,2014,Galer,Bus Rapid Transit,RapidRide E
Garfield Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,1184,7086,7086,11223,7086,12183,15570,-122.43443,47.1461,at grade,planned,,Garfield Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
Garfield Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,2837,4101,4688,5688,4101,4629,6513,-122.32558,47.63387,at grade,proposed,,Garfield Street,Bus Rapid Transit,Roosevelt RapidRide
Grady Way-RapidRide I-Arterial Rapid Transit-planned,1928,2824,3207,3334,2824,4414,4897,-122.20887,47.47285,at grade,planned,,Grady Way,Arterial Rapid Transit,RapidRide I
Hamlin Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,4568,5861,6061,8430,5869,6279,8655,-122.32582,47.64562,at grade,proposed,,Hamlin Street,Bus Rapid Transit,Roosevelt RapidRide
Harrison Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,51495,237663,237663,458757,237663,237663,458757,-122.33433,47.62202,at grade,proposed,,Harrison Street,Bus Rapid Transit,Roosevelt RapidRide
Harvard Avenue-Roosevelt RapidRide-Bus Rapid Transit-proposed,3220,3713,4271,4923,4197,4061,6016,-122.32215,47.65047,at grade,proposed,,Harvard Avenue,Bus Rapid Transit,Roosevelt RapidRide
Hilltop District-Link T Line-Streetcar-uc,4547,9719,10228,14241,9719,11678,15263,-122.45172,47.25199,at grade,uc,,Hilltop District,Streetcar,Link T Line
Interbay-Ballard Link Extension-Light Rail-planned,2842,3136,3467,3307,3136,3603,4028,-122.37873,47.65186,elevated,planned,,Interbay,Light Rail,Ballard Link Extension
International District-Chinatown-Ballard Link Extension-Light Rail-planned,1699,1699,1699,1699,1699,1699,1699,-122.32766,47.59849,subway,planned,,International District-Chinatown,Light Rail,Ballard Link Extension
International District-Chinatown-Red Line (Central Link)-Light Rail-existing,8295,8295,8295,8295,8295,8295,8295,-122.32801,47.59843,subway,existing,2009,International District-Chinatown,Light Rail,Red Line (Central Link)
Judkins Park-Blue Line (East Link)-Light Rail-uc,3563,6954,7493,8675,6954,8158,10101,-122.30444,47.59029,at grade,uc,,Judkins Park,Light Rail,Blue Line (East Link)
Kaysner Way-Stride S3-Bus Rapid Transit-planned,2541,19903,21416,27793,19903,21287,30591,-122.20162,47.7604,at grade,planned,,Kaysner Way,Bus Rapid Transit,Stride S3
Kenmore Square-Stride S3-Bus Rapid Transit-planned,1586,2270,3398,3084,2319,2764,4516,-122.23696,47.75628,at grade,planned,,Kenmore Square,Bus Rapid Transit,Stride S3
Kent High School-RapidRide I-Arterial Rapid Transit-planned,733,3159,3328,5588,3159,7183,7535,-122.20568,47.37253,at grade,planned,,Kent High School,Arterial Rapid Transit,RapidRide I
Kent-Sounder-Commuter Rail-existing,3260,17515,17815,23616,17515,18023,24333,-122.233,47.38451,at grade,existing,2001,Kent,Commuter Rail,Sounder
Kent/Des Moines Road-RapidRide A-Bus Rapid Transit-existing,1670,10868,12028,16245,10868,11827,17742,-122.29485,47.3938,at grade,existing,2010,Kent/Des Moines Road,Bus Rapid Transit,RapidRide A
Kent/Des Moines-Red Line (Federal Way Link)-Light Rail-uc,545,5799,6234,11055,5799,5799,11490,-122.29409,47.38991,elevated,uc,,Kent/Des Moines,Light Rail,Red Line (Federal Way Link)
Lakewood-Sounder-Commuter Rail-existing,959,2051,2425,2694,2165,2264,3348,-122.4992,47.15321,at grade,existing,2008,Lakewood,Commuter Rail,Sounder
Larch Way-Swift Orange Line-Arterial Rapid Transit-uc,3877,6178,7218,7643,6178,7912,9773,-122.2469,47.84964,at grade,uc,,Larch Way,Arterial Rapid Transit,Swift Orange Line
Lincoln Way-Swift Blue Line-Bus Rapid Transit-existing,2669,3873,4199,4241,3873,7521,7905,-122.27375,47.87301,at grade,existing,2009,Lincoln Way,Bus Rapid Transit,Swift Blue Line
Lynn Street-Roosevelt RapidRide-Bus Rapid Transit-proposed,7704,9366,9534,12582,9366,10356,12874,-122.3259,47.63973,at grade,proposed,,Lynn Street,Bus Rapid Transit,Roosevelt RapidRide
Lynn-RapidRide E-Bus Rapid Transit-existing,5118,6516,6946,7710,6784,7286,8767,-122.34558,47.63914,at grade,existing,2014,Lynn,Bus Rapid Transit,RapidRide E
Lynnwood City Center-Red Line (Lynnwood Link)-Light Rail-uc,91,832,1098,1572,1156,840,2168,-122.29412,47.81605,at grade,uc,,Lynnwood City Center,Light Rail,Red Line (Lynnwood Link)
Lynnwood City Center-Swift Orange Line-Arterial Rapid Transit-uc,1586,6525,6840,9427,6525,7940,10873,-122.2942,47.81735,at grade,uc,,Lynnwood City Center,Arterial Rapid Transit,Swift Orange Line
Madison Street-Swift Blue Line-Bus Rapid Transit-existing,2295,11303,14048,17251,11303,12133,20428,-122.21906,47.93625,at grade,existing,2009,Madison Street,Bus Rapid Transit,Swift Blue Line
Maple Road-Swift Orange Line-Arterial Rapid Transit-uc,1704,2334,5406,2810,2334,4376,7448,-122.28172,47.83632,at grade,uc,,Maple Road,Arterial Rapid Transit,Swift Orange Line
Mariner-Everett Link Extension-Light Rail-planned,1218,2597,3040,3974,2597,2702,4522,-122.23593,47.88182,elevated,planned,,Mariner,Light Rail,Everett Link Extension
Martin Luther King Jr. Way-Madison RapidRide G-Bus Rapid Transit-proposed,4164,4849,6076,6105,4849,5118,7360,-122.2964,47.62333,at grade,proposed,,Martin Luther King Jr. Way,Bus Rapid Transit,Madison RapidRide G
Mary Avenue-RapidRide D-Bus Rapid Transit-existing,2721,4647,7152,6995,4647,5172,9578,-122.37564,47.69452,at grade,existing,2012,Mary Avenue,Bus Rapid Transit,RapidRide D
McCollum Park Park and Ride-Swift Orange Line-Arterial Rapid Transit-uc,3400,4349,4543,5000,4349,4580,5425,-122.22089,47.88009,at grade,uc,,McCollum Park Park and Ride,Arterial Rapid Transit,Swift Orange Line
Mercer Island-Blue Line (East Link)-Light Rail-uc,1877,4036,4946,5439,5142,4241,7629,-122.2332,47.58818,elevated,uc,,Mercer Island,Light Rail,Blue Line (East Link)
Mercer-RapidRide C-Bus Rapid Transit-existing,14790,34421,34421,52822,34421,34421,52822,-122.33851,47.62462,at grade,existing,2012,Mercer,Bus Rapid Transit,RapidRide C
Midtown-Ballard Link Extension-Light Rail-planned,2688,11487,11487,22974,11487,11487,22974,-122.33145,47.60615,subway,planned,,Midtown,Light Rail,Ballard Link Extension
Military Road-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,213,3980,3980,7633,3980,5633,9053,-122.43472,47.11947,at grade,planned,,Military Road,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
Mill Creek Boulevard-Swift Orange Line-Arterial Rapid Transit-uc,377,516,1510,648,516,778,1772,-122.22055,47.84948,at grade,uc,,Mill Creek Boulevard,Arterial Rapid Transit,Swift Orange Line
Mount Baker-Red Line (Central Link)-Light Rail-existing,2671,6742,7840,10419,7624,7034,12599,-122.29757,47.5764,elevated,existing,2009,Mount Baker,Light Rail,Red Line (Central Link)
Mountlake Terrace-Red Line (Lynnwood Link)-Light Rail-uc,939,25890,25909,33734,25890,28648,36137,-122.31486,47.78548,highway,uc,,Mountlake Terrace,Light Rail,Red Line (Lynnwood Link)
Mukilteo-Sounder-Commuter Rail-existing,396,926,1929,1239,926,926,2242,-122.29808,47.94917,at grade,existing,2008,Mukilteo,Commuter Rail,Sounder
Murphys Corner-Swift Green Line-Bus Rapid Transit-existing,605,1013,2447,1136,1013,1843,3346,-122.20707,47.87821,at grade,existing,2019,Murphys Corner,Bus Rapid Transit,Swift Green Line
N 10-RapidRide F-Bus Rapid Transit-existing,2,2,2,2,2,2,2,-122.20605,47.49817,at grade,existing,2014,N 10,Bus Rapid Transit,RapidRide F
N 100-RapidRide E-Bus Rapid Transit-existing,2403,3732,4987,5324,3732,4098,6639,-122.34466,47.70144,at grade,existing,2014,N 100,Bus Rapid Transit,RapidRide E
N 105-RapidRide E-Bus Rapid Transit-existing,4347,6059,7611,8433,6059,6763,10138,-122.34471,47.70508,at grade,existing,2014,N 105,Bus Rapid Transit,RapidRide E
N 115-RapidRide E-Bus Rapid Transit-existing,1357,2481,3378,4066,2481,2836,5075,-122.3448,47.71233,at grade,existing,2014,N 115,Bus Rapid Transit,RapidRide E
N 125-RapidRide E-Bus Rapid Transit-existing,1592,2207,3857,2801,2207,2271,4464,-122.34489,47.7196,at grade,existing,2014,N 125,Bus Rapid Transit,RapidRide E
N 130-RapidRide E-Bus Rapid Transit-existing,2837,4255,5151,6850,4255,4765,7965,-122.34494,47.72326,at grade,existing,2014,N 130,Bus Rapid Transit,RapidRide E
N 135-RapidRide E-Bus Rapid Transit-existing,5080,8800,10182,14886,8800,9161,16375,-122.34499,47.72691,at grade,existing,2014,N 135,Bus Rapid Transit,RapidRide E
N 145-RapidRide E-Bus Rapid Transit-existing,4490,6009,8451,9101,6009,6289,11590,-122.34519,47.73413,at grade,existing,2014,N 145,Bus Rapid Transit,RapidRide E
N 152-RapidRide E-Bus Rapid Transit-existing,2112,3392,6041,5126,3392,3579,7962,-122.34535,47.73894,at grade,existing,2014,N 152,Bus Rapid Transit,RapidRide E
N 155-RapidRide E-Bus Rapid Transit-existing,941,11650,13917,22359,11650,11650,24626,-122.3454,47.74147,at grade,existing,2014,N 155,Bus Rapid Transit,RapidRide E
N 160-RapidRide E-Bus Rapid Transit-existing,2323,2359,5036,2813,2359,2843,5742,-122.34547,47.74505,at grade,existing,2014,N 160,Bus Rapid Transit,RapidRide E
N 165-RapidRide E-Bus Rapid Transit-existing,1704,2772,6270,3972,2772,2844,7498,-122.34554,47.74864,at grade,existing,2014,N 165,Bus Rapid Transit,RapidRide E
N 170-RapidRide E-Bus Rapid Transit-existing,2482,3498,6233,4774,3498,3530,7533,-122.34561,47.75235,at grade,existing,2014,N 170,Bus Rapid Transit,RapidRide E
N 175-RapidRide E-Bus Rapid Transit-existing,3357,7657,9665,13031,7657,7675,15039,-122.34576,47.75598,at grade,existing,2014,N 175,Bus Rapid Transit,RapidRide E
N 180-RapidRide E-Bus Rapid Transit-existing,1701,6045,8817,10878,6357,6045,13962,-122.3461,47.75965,at grade,existing,2014,N 180,Bus Rapid Transit,RapidRide E
N 185-RapidRide E-Bus Rapid Transit-existing,1425,11408,13668,19202,11408,11504,21513,-122.34601,47.76328,at grade,existing,2014,N 185,Bus Rapid Transit,RapidRide E
N 192-RapidRide E-Bus Rapid Transit-existing,3848,6216,8313,8625,12580,6216,17086,-122.3459,47.76781,at grade,existing,2014,N 192,Bus Rapid Transit,RapidRide E
N 200-RapidRide E-Bus Rapid Transit-existing,2387,6873,9078,9631,6873,7153,12079,-122.346,47.77395,at grade,existing,2014,N 200,Bus Rapid Transit,RapidRide E
N 3-RapidRide F-Bus Rapid Transit-existing,1201,2350,2998,3109,2350,2526,3933,-122.20854,47.48704,at grade,existing,2014,N 3,Bus Rapid Transit,RapidRide F
N 46-RapidRide E-Bus Rapid Transit-existing,5384,9025,9261,10292,9025,10103,11267,-122.34733,47.66217,at grade,existing,2014,N 46,Bus Rapid Transit,RapidRide E
N 6-RapidRide F-Bus Rapid Transit-existing,690,711,956,711,711,883,1128,-122.20738,47.4921,at grade,existing,2014,N 6,Bus Rapid Transit,RapidRide F
N 65-RapidRide E-Bus Rapid Transit-existing,2386,2629,3203,2648,2629,2766,3355,-122.34672,47.67602,at grade,existing,2014,N 65,Bus Rapid Transit,RapidRide E
N 76-RapidRide E-Bus Rapid Transit-existing,3097,3752,4109,4577,3752,3919,4960,-122.34445,47.68403,at grade,existing,2014,N 76,Bus Rapid Transit,RapidRide E
N 80-RapidRide E-Bus Rapid Transit-existing,3123,4015,4623,4640,4015,4306,5352,-122.34447,47.68694,at grade,existing,2014,N 80,Bus Rapid Transit,RapidRide E
N 85-RapidRide E-Bus Rapid Transit-existing,5090,7927,9104,11016,7927,8674,12387,-122.3445,47.69057,at grade,existing,2014,N 85,Bus Rapid Transit,RapidRide E
N 90-RapidRide E-Bus Rapid Transit-existing,4502,8131,9247,12738,8131,9439,13950,-122.34456,47.6942,at grade,existing,2014,N 90,Bus Rapid Transit,RapidRide E
N 95-RapidRide E-Bus Rapid Transit-existing,4574,7034,7898,10493,7034,7997,11476,-122.34461,47.69779,at grade,existing,2014,N 95,Bus Rapid Transit,RapidRide E
Naches Avenue SW-RapidRide F-Bus Rapid Transit-existing,0,0,0,0,0,0,0,-122.23749,47.45702,at grade,existing,2014,Naches Avenue SW,Bus Rapid Transit,RapidRide F
NE 10-RapidRide B-Bus Rapid Transit-existing,2549,3045,4088,3546,3045,3780,5092,-122.13244,47.61871,at grade,existing,2011,NE 10,Bus Rapid Transit,RapidRide B
NE 145th-Red Line (Lynnwood Link)-Light Rail-uc,1046,11747,12692,16415,11747,11747,17360,-122.32424,47.73401,highway,uc,,NE 145th,Light Rail,Red Line (Lynnwood Link)
NE 15-RapidRide B-Bus Rapid Transit-existing,4400,4551,5090,4915,4551,6252,6893,-122.13242,47.62332,at grade,existing,2011,NE 15,Bus Rapid Transit,RapidRide B
NE 185th-Red Line (Lynnwood Link)-Light Rail-uc,1299,11968,14127,18216,11968,12006,20413,-122.32272,47.76518,highway,uc,,NE 185th,Light Rail,Red Line (Lynnwood Link)
NE 31-RapidRide B-Bus Rapid Transit-existing,139,15728,16145,31317,15728,15728,31734,-122.13236,47.63812,at grade,existing,2011,NE 31,Bus Rapid Transit,RapidRide B
NE 40-RapidRide B-Bus Rapid Transit-existing,4397,6707,7010,9032,6707,8938,11551,-122.14293,47.64597,at grade,existing,2011,NE 40,Bus Rapid Transit,RapidRide B
NE 46-RapidRide B-Bus Rapid Transit-existing,2281,2281,2446,2281,2281,3543,3708,-122.1433,47.65232,at grade,existing,2011,NE 46,Bus Rapid Transit,RapidRide B
NE 51-RapidRide B-Bus Rapid Transit-existing,438,1031,1821,1621,1031,1143,2523,-122.14332,47.6551,at grade,existing,2011,NE 51,Bus Rapid Transit,RapidRide B
NE 87-RapidRide B-Bus Rapid Transit-existing,1061,1751,2527,2729,1751,2639,3817,-122.14524,47.68052,at grade,existing,2011,NE 87,Bus Rapid Transit,RapidRide B
NE Old Redmond Road-RapidRide B-Bus Rapid Transit-existing,1586,1586,5016,1586,1586,1994,5424,-122.14313,47.66786,at grade,existing,2011,NE Old Redmond Road,Bus Rapid Transit,RapidRide B
NE Redmond Way-RapidRide B-Bus Rapid Transit-existing,3573,3780,5319,5371,3780,5228,7264,-122.14322,47.6752,at grade,existing,2011,NE Redmond Way,Bus Rapid Transit,RapidRide B
Newton/Armory-RapidRide D-Bus Rapid Transit-existing,2809,3620,3640,4912,3620,4377,5399,-122.37621,47.63663,at grade,existing,2012,Newton/Armory,Bus Rapid Transit,RapidRide D
North Road-Swift Orange Line-Arterial Rapid Transit-uc,1487,3819,5287,4985,3819,8935,10834,-122.23585,47.84942,at grade,uc,,North Road,Arterial Rapid Transit,Swift Orange Line
Northeast 44-Stride S1-Bus Rapid Transit-planned,652,1152,1746,1204,1152,1361,1978,-122.19746,47.53227,highway,planned,,Northeast 44,Bus Rapid Transit,Stride S1
Northeast 85-Stride S2-Bus Rapid Transit-planned,2069,2935,3120,3607,3972,8312,9550,-122.18453,47.67919,highway,planned,,Northeast 85,Bus Rapid Transit,Stride S2
Northern Terminus - Commerce Street-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,9085,13708,13708,17408,13708,13708,17408,-122.43994,47.25534,at grade,planned,,Northern Terminus - Commerce Street,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
Northgate-Red Line (Northgate Link)-Light Rail-existing,5238,17723,18581,22073,17723,18084,23292,-122.32834,47.7033,elevated,existing,2021,Northgate,Light Rail,Red Line (Northgate Link)
NW 60-RapidRide D-Bus Rapid Transit-existing,8833,12466,13148,17219,12466,14171,18379,-122.3762,47.67239,at grade,existing,2012,NW 60,Bus Rapid Transit,RapidRide D
NW 65-RapidRide D-Bus Rapid Transit-existing,5059,7549,8212,10845,7549,8613,11794,-122.37654,47.67602,at grade,existing,2012,NW 65,Bus Rapid Transit,RapidRide D
NW 70-RapidRide D-Bus Rapid Transit-existing,4105,4527,6070,5405,4527,4855,6985,-122.37675,47.67952,at grade,existing,2012,NW 70,Bus Rapid Transit,RapidRide D
NW 75-RapidRide D-Bus Rapid Transit-existing,4811,5308,6554,6080,5308,5580,7334,-122.37675,47.68319,at grade,existing,2012,NW 75,Bus Rapid Transit,RapidRide D
NW 80-RapidRide D-Bus Rapid Transit-existing,3303,4710,6999,6629,4710,5201,8933,-122.37678,47.68685,at grade,existing,2012,NW 80,Bus Rapid Transit,RapidRide D
NW 85-RapidRide B-Bus Rapid Transit-existing,7937,9539,9539,11797,9539,10642,11839,-122.12753,47.67854,at grade,existing,2011,NW 85,Bus Rapid Transit,RapidRide B
NW 85-RapidRide D-Bus Rapid Transit-existing,4269,8509,10408,13458,8509,9342,15418,-122.3768,47.6906,at grade,existing,2012,NW 85,Bus Rapid Transit,RapidRide D
NW 90-RapidRide B-Bus Rapid Transit-existing,4205,4321,4887,5091,4321,8191,9049,-122.12754,47.68215,at grade,existing,2011,NW 90,Bus Rapid Transit,RapidRide B
NW Leary-RapidRide D-Bus Rapid Transit-existing,1206,1613,1614,2341,1634,1752,2462,-122.37619,47.66365,at grade,existing,2012,NW Leary,Bus Rapid Transit,RapidRide D
NW Market-RapidRide D-Bus Rapid Transit-existing,2393,6962,7017,10544,6962,8464,11549,-122.37619,47.66865,at grade,existing,2012,NW Market,Bus Rapid Transit,RapidRide D
Old City Hall-Link T Line-Streetcar-uc,2663,7456,7456,10537,7456,7456,10537,-122.44033,47.25752,at grade,uc,,Old City Hall,Streetcar,Link T Line
Othello-Red Line (Central Link)-Light Rail-existing,2611,5433,7316,7916,5433,6298,10240,-122.28167,47.53815,at grade,existing,2009,Othello,Light Rail,Red Line (Central Link)
Overlake Park and Ride-RapidRide B-Bus Rapid Transit-existing,2042,7614,7614,13132,7614,7614,13132,-122.13769,47.63358,at grade,existing,2011,Overlake Park and Ride,Bus Rapid Transit,RapidRide B
Overlake Transit Center-RapidRide B-Bus Rapid Transit-existing,1098,1098,1251,1098,1098,1182,1335,-122.13234,47.64355,at grade,existing,2011,Overlake Transit Center,Bus Rapid Transit,RapidRide B
Overlake Village-Blue Line (East Link)-Light Rail-uc,639,2510,2513,4241,2510,3099,4833,-122.13818,47.63681,at grade,uc,,Overlake Village,Light Rail,Blue Line (East Link)
Pacific Avenue-Swift Blue Line-Bus Rapid Transit-existing,5780,32686,32737,45999,32686,42342,52176,-122.20707,47.97663,at grade,existing,2009,Pacific Avenue,Bus Rapid Transit,Swift Blue Line
Pearl-TCC Tacoma Link Extension-Light Rail-planned,1135,1161,2765,1173,1161,1244,2848,-122.51559,47.24282,at grade,planned,,Pearl,Light Rail,TCC Tacoma Link Extension
Pike-RapidRide C-Bus Rapid Transit-existing,13749,17340,17340,20973,17571,17340,21204,-122.3378,47.60978,at grade,existing,2012,Pike,Bus Rapid Transit,RapidRide C
Pioneer Square-Red Line (Central Link)-Light Rail-existing,1598,7693,7693,14021,7693,7693,14021,-122.33144,47.60276,subway,existing,2009,Pioneer Square,Light Rail,Red Line (Central Link)
Pirnie Road East-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned,645,1865,1865,2633,4213,9456,12423,-122.42845,47.07878,at grade,planned,,Pirnie Road East,Bus Rapid Transit,Pacific Avenue/SR 7 BRT
Portland Avenue-Tacoma Dome Link Extension-Light Rail-planned,104,2290,2305,2290,2290,2479,2494,-122.41145,47.24294,elevated,planned,,Portland Avenue,Light Rail,Tacoma Dome Link Extension
Prefontaine Place-RapidRide D-Bus Rapid Transit-existing,240,432,432,864,432,432,864,-122.33066,47.60189,at grade,existing,2012,Prefontaine Place,Bus Rapid Transit,RapidRide D
Puyallup-Sounder-Commuter Rail-existing,2993,9131,10404,13969,12200,9131,18311,-122.29507,47.19269,at grade,existing,2001,Puyallup,Commuter Rail,Sounder
Queen Anne Avenue-RapidRide D-Bus Rapid Transit-existing,9258,14990,15475,21569,14990,15311,22147,-122.3567,47.62458,at grade,existing,2012,Queen Anne Avenue,Bus Rapid Transit,RapidRide D
Rainier Beach-Red Line (Central Link)-Light Rail-existing,1674,3438,4833,4581,3568,3870,6378,-122.27942,47.52238,at grade,existing,2009,Rainier Beach,Light Rail,Red Line (Central Link)
Redmond Technology Center-Blue Line (East Link)-Light Rail-uc,1282,1282,1330,1282,1282,2803,2851,-122.13357,47.64459,at grade,uc,,Redmond Technology Center,Light Rail,Blue Line (East Link)
Redmond Transit Center-RapidRide B-Bus Rapid Transit-existing,6381,8812,9768,12741,8812,11115,14252,-122.11917,47.67531,at grade,existing,2011,Redmond Transit Center,Bus Rapid Transit,RapidRide B
Renton Transit Center-RapidRide F-Bus Rapid Transit-existing,4056,8763,8949,14356,8763,9150,14839,-122.20912,47.48125,at grade,existing,2014,Renton Transit Center,Bus Rapid Transit,RapidRide F
Republican Street-RapidRide D-Bus Rapid Transit-existing,7513,20555,20619,36821,20555,20712,37010,-122.35541,47.62327,at grade,existing,2012,Republican Street,Bus Rapid Transit,RapidRide D
Richards Road-South Kirkland-Issaquah Link-Light Rail-planned,831,1014,1718,1021,1014,1404,2108,-122.16888,47.58027,elevated,planned,,Richards Road,Light Rail,South Kirkland-Issaquah Link
Roosevelt-Red Line (Northgate Link)-Light Rail-existing,6654,8606,9060,10079,8606,9508,10998,-122.31597,47.67667,subway,existing,2021,Roosevelt,Light Rail,Red Line (Northgate Link)
"Roy ""Y"" Park and Ride-Pacific Avenue/SR 7 BRT-Bus Rapid Transit-planned",239,319,319,399,5422,1529,6688,-122.43439,47.08329,at grade,planned,,"Roy ""Y"" Park and Ride",Bus Rapid Transit,Pacific Avenue/SR 7 BRT
S 160-RapidRide A-Bus Rapid Transit-existing,799,2744,4124,4914,2744,3699,6827,-122.29175,47.45967,at grade,existing,2010,S 160,Bus Rapid Transit,RapidRide A
S 170-RapidRide A-Bus Rapid Transit-existing,1280,1932,3294,3312,1932,3847,5493,-122.29605,47.45076,at grade,existing,2010,S 170,Bus Rapid Transit,RapidRide A
